"Name","Name_","Molecule.Max.Phase","Molecular.Weight","X.RO5.Violations","AlogP","Compound.Key","Smiles","Standard.Type","Standard.Relation","Standard.Value","Standard.Units","Affinity","Data.Validity.Comment","Comment","Uo.Units","Ligand.Efficiency.BEI","Ligand.Efficiency.LE","Ligand.Efficiency.LLE","Ligand.Efficiency.SEI","Potential.Duplicate","Assay.ChEMBL.ID","Assay.Description","Assay.Type","BAO.Format.ID","BAO.Label","Assay.Organism","Assay.Tissue.ChEMBL.ID","Assay.Tissue.Name","Assay.Cell.Type","Assay.Subcellular.Fraction","Assay.Parameters","Assay.Variant.Accession","Assay.Variant.Mutation","Target.ChEMBL.ID","Target.Name","Target.Organism","Target.Type","Document.ChEMBL.ID","Source.ID","Source.Description","Document.Journal","Document.Year","Cell.ChEMBL.ID","Properties","Action.Type","Permeable"
"CHEMBL25942",NA,NA,651.55,1,2.16,"3b","NC(=O)[C@H](Cc1ccc(Cl)c(Cl)c1)NC(=O)CN1C(=O)C(NC(=O)CN2CCOCC2)N=C(c2ccccc2)c2ccccc21","Ki","'='",39.81,"nM",7.4,NA,NA,"UO_0000065",11.36,0.22,5.24,5.05,0,"CHEMBL857864","Inhibition of binding of [3H]oxytocin with human oxytocin receptor","B","BAO_0000357","single protein format",NA,NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1134064",1,"Scientific Literature","Bioorg Med Chem Lett",2001,NA,NA,NA,FALSE
"CHEMBL1094002",NA,NA,373.42,0,3.39,"10","CCN(C(=O)c1cnc(-c2ccc(C#N)cc2C)cn1)c1ccc(OC)nc1","Ki","'='",393,"nM",6.41,NA,NA,"UO_0000065",NA,NA,NA,NA,0,"CHEMBL1111571","Antagonist activity at human cloned OT receptor by cell based beta-lactamase reporter gene assay","F","BAO_0000219","cell-based format","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1156290",1,"Scientific Literature","Bioorg Med Chem Lett",2010,NA,NA,NA,TRUE
"CHEMBL1093599",NA,NA,392.46,0,3.46,"15","COCCN(C(=O)c1cnc(-c2cccc(C)c2C)cn1)c1ccc(OC)nc1","Ki","'='",11,"nM",7.96,NA,NA,"UO_0000065",NA,NA,NA,NA,0,"CHEMBL1111571","Antagonist activity at human cloned OT receptor by cell based beta-lactamase reporter gene assay","F","BAO_0000219","cell-based format","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1156290",1,"Scientific Literature","Bioorg Med Chem Lett",2010,NA,NA,NA,TRUE
"CHEMBL285012",NA,NA,524.64,1,3.68,"3ce","CN(CCCn1ccc2cc(C(=O)N3CCC(N4C(=O)OCc5ccccc54)CC3)ccc21)S(C)(=O)=O","Ki","'='",158.49,"nM",6.8,NA,NA,"UO_0000065",12.96,0.25,3.12,7.38,0,"CHEMBL761409","Ability to displace [3H]oxytocin from human OT receptor (hOT)","B","BAO_0000357","single protein format",NA,NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1135944",1,"Scientific Literature","Bioorg Med Chem Lett",2002,NA,NA,NA,FALSE
"CHEMBL31213",NA,NA,559.58,1,2.7,"13r","CN(Cc1cc2cc(C(=O)N3CCC(N4C(=O)OCc5ccccc54)CC3)ccc2o1)C(=O)CN1C(=O)CNC1=O","Ki","'='",25.12,"nM",7.6,NA,NA,"UO_0000065",13.58,0.25,4.9,5.73,0,"CHEMBL761409","Ability to displace [3H]oxytocin from human OT receptor (hOT)","B","BAO_0000357","single protein format",NA,NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1135944",1,"Scientific Literature","Bioorg Med Chem Lett",2002,NA,NA,NA,TRUE
"CHEMBL200729",NA,NA,498.56,1,5.84,"62b","Cc1ccc(N(CC(=O)/N=N/c2c(O)[nH]c3ccccc23)S(=O)(=O)c2ccc3ccccc3c2)cc1","Ki","'='",239,"nM",6.62,NA,NA,"UO_0000065",13.28,0.25,0.78,5.75,0,"CHEMBL863355","Displacement of [125I]OVTA antagonist from human oxytocin receptor expressed in HEK293-EBNA cells","B","BAO_0000219","cell-based format","Homo sapiens",NA,NA,"HEK293-EBNA",NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1141231",1,"Scientific Literature","J Med Chem",2005,"CHEMBL3833702",NA,NA,FALSE
"CHEMBL2113197",NA,NA,522.58,1,2.42,"42","CCOc1ccc(S(=O)(=O)N(c2ccc(C)cc2)C(CO)C(=O)N/N=C2\C(=O)Nc3ccccc32)cc1","Ki","'='",1376,"nM",5.86,NA,NA,"UO_0000065",11.22,0.22,3.44,4.27,0,"CHEMBL863355","Displacement of [125I]OVTA antagonist from human oxytocin receptor expressed in HEK293-EBNA cells","B","BAO_0000219","cell-based format","Homo sapiens",NA,NA,"HEK293-EBNA",NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1141231",1,"Scientific Literature","J Med Chem",2005,"CHEMBL3833702",NA,NA,FALSE
"CHEMBL200792",NA,NA,443.91,0,3.39,"8b","O=C(CN(c1ccc(Cl)cc1)S(=O)(=O)c1ccccc1)N/N=C/c1ccccc1O","Ki","'='",67,"nM",7.17,NA,NA,"UO_0000065",16.16,0.33,3.78,7.24,0,"CHEMBL863355","Displacement of [125I]OVTA antagonist from human oxytocin receptor expressed in HEK293-EBNA cells","B","BAO_0000219","cell-based format","Homo sapiens",NA,NA,"HEK293-EBNA",NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1141231",1,"Scientific Literature","J Med Chem",2005,"CHEMBL3833702",NA,NA,TRUE
"CHEMBL104530",NA,NA,410.47,0,3.86,"8","CCOc1ccc(C(=O)N2CCC(N3C(=O)OCc4ccccc43)CC2)c(OC)c1","Ki","'='",15,"nM",7.82,NA,NA,"UO_0000065",19.06,0.36,3.96,11.45,0,"CHEMBL761405","Binding affinity against cloned human oxytocin receptor from human embryonic kidney cells","B","BAO_0000219","cell-based format",NA,NA,NA,"kidney",NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1130655",1,"Scientific Literature","Bioorg Med Chem Lett",1998,NA,NA,NA,TRUE
"CHEMBL265070",NA,NA,630.72,2,5.15,"(R) 51","COc1cc(OC2CCN([C@@H]3CCCc4c3ccc[n+]4[O-])CC2)c(F)cc1C(=O)N1CCC(N2C(=O)OCc3ccccc32)CC1","Ki","'='",2.3,"nM",8.64,NA,NA,"UO_0000065",13.7,0.26,3.49,8.77,0,"CHEMBL762236","Binding affinity for cloned human oxytocin receptor (OT-R)","B","BAO_0000357","single protein format",NA,NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1131248",1,"Scientific Literature","J Med Chem",1998,NA,NA,NA,TRUE
"CHEMBL286895",NA,NA,626.67,1,2.9,"4g","O=C(Cn1ccc(N2CCOCC2)nc1=O)NCc1cc2cc(C(=O)N3CCC(N4C(=O)OCc5ccccc54)CC3)ccc2o1","Ki","'='",0.5012,"nM",9.3,NA,NA,"UO_0000065",14.84,0.28,6.4,6.67,0,"CHEMBL761408","Displacement of 3[H]oxytocin from human oxytocin receptor","B","BAO_0000357","single protein format",NA,NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1135117",1,"Scientific Literature","Bioorg Med Chem Lett",2002,NA,NA,NA,TRUE
"CHEMBL194922",NA,NA,475.63,0,3.72,"24","Cc1ccc([C@@H](C(=O)NC(C)C)N2C(=O)[C@@H](C3Cc4ccccc4C3)NC(=O)[C@H]2CC(C)C)cc1","Ki","'='",50.12,"nM",7.3,NA,NA,"UO_0000065",15.35,0.28,3.58,9.3,0,"CHEMBL885138","Displacement of [3H]oxytocin from human Oxytocin receptor","B","BAO_0000357","single protein format","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1140377",1,"Scientific Literature","J Med Chem",2005,NA,NA,NA,FALSE
"CHEMBL3392901",NA,NA,554.78,1,1.52,"l-386,899","Cc1ccccc1N1CCN(S(=O)(=O)CC23CCC(CC2NC(=O)C(N)CCS(C)(=O)=O)C3(C)C)CC1","Ki","'='",17,"nM",7.77,NA,NA,"UO_0000065",14,0.29,6.25,5.98,0,"CHEMBL4000808","Displacement of [3H]Oxytocin from human OXTR expressed in CHO cell membranes after 90 mins by liquid scintillation counting method","B","BAO_0000219","cell-based format","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL4000173",1,"Scientific Literature","Bioorg Med Chem",2017,NA,NA,NA,FALSE
"CHEMBL306416",NA,NA,604.68,1,4.58,"36","COc1cc(OC2CCN(Cc3ccc[n+]([O-])c3C)CC2)c(F)cc1C(=O)N1CCC(N2C(=O)OCc3ccccc32)CC1","Ki","'='",1.1,"nM",8.96,NA,NA,"UO_0000065",14.82,0.28,4.38,9.1,0,"CHEMBL762236","Binding affinity for cloned human oxytocin receptor (OT-R)","B","BAO_0000357","single protein format",NA,NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1131248",1,"Scientific Literature","J Med Chem",1998,NA,NA,NA,FALSE
"CHEMBL71540",NA,NA,658.65,2,5.29,"47","COc1cc(OC2CCN(Cc3c[n+]([O-])ccc3C(F)(F)F)CC2)c(F)cc1C(=O)N1CCC(N2C(=O)OCc3ccccc32)CC1","Ki","'='",1.2,"nM",8.92,NA,NA,"UO_0000065",13.54,0.26,3.63,9.06,0,"CHEMBL762236","Binding affinity for cloned human oxytocin receptor (OT-R)","B","BAO_0000357","single protein format",NA,NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1131248",1,"Scientific Literature","J Med Chem",1998,NA,NA,NA,FALSE
"CHEMBL303487",NA,NA,586.69,1,4.44,"31","COc1cc(OC2CCN(Cc3c[n+]([O-])ccc3C)CC2)ccc1C(=O)N1CCC(N2C(=O)OCc3ccccc32)CC1","Ki","'='",3.5,"nM",8.46,NA,NA,"UO_0000065",14.41,0.27,4.02,8.59,0,"CHEMBL762236","Binding affinity for cloned human oxytocin receptor (OT-R)","B","BAO_0000357","single protein format",NA,NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1131248",1,"Scientific Literature","J Med Chem",1998,NA,NA,NA,FALSE
"CHEMBL65950",NA,NA,600.67,1,4.08,"49","COc1cc(OC2CCN(C(=O)c3ccc[n+]([O-])c3C)CC2)ccc1C(=O)N1CCC(N2C(=O)OCc3ccccc32)CC1","Ki","'='",5.6,"nM",8.25,NA,NA,"UO_0000065",13.74,0.26,4.17,7.14,0,"CHEMBL762236","Binding affinity for cloned human oxytocin receptor (OT-R)","B","BAO_0000357","single protein format",NA,NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1131248",1,"Scientific Literature","J Med Chem",1998,NA,NA,NA,FALSE
"CHEMBL68978",NA,NA,556.66,1,4.9,"27","COc1cc(OC2CCN(Cc3ccncc3)CC2)ccc1C(=O)N1CCC(N2C(=O)OCc3ccccc32)CC1","Ki","'='",7.8,"nM",8.11,NA,NA,"UO_0000065",14.57,0.27,3.21,9.6,0,"CHEMBL762236","Binding affinity for cloned human oxytocin receptor (OT-R)","B","BAO_0000357","single protein format",NA,NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1131248",1,"Scientific Literature","J Med Chem",1998,NA,NA,NA,FALSE
"CHEMBL65949",NA,NA,600.72,1,4.75,"38","COc1cc(OC2CCN(Cc3ccc(C)[n+]([O-])c3C)CC2)ccc1C(=O)N1CCC(N2C(=O)OCc3ccccc32)CC1","Ki","'='",5.3,"nM",8.28,NA,NA,"UO_0000065",13.78,0.26,3.53,8.4,0,"CHEMBL762236","Binding affinity for cloned human oxytocin receptor (OT-R)","B","BAO_0000357","single protein format",NA,NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1131248",1,"Scientific Literature","J Med Chem",1998,NA,NA,NA,FALSE
"CHEMBL603205",NA,NA,351.41,0,2.64,"11","COc1ccc(-n2c(C)nnc2N2CC[C@@H](Oc3ccccc3)C2)cn1","Ki","'='",170,"nM",6.77,NA,NA,"UO_0000065",NA,NA,NA,NA,0,"CHEMBL1050363","Antagonist activity at human cloned oxytocin receptor by cell based beta lactamase assay","F","BAO_0000219","cell-based format","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1153191",1,"Scientific Literature","Bioorg Med Chem Lett",2010,NA,NA,NA,TRUE
"CHEMBL371008",NA,NA,518.66,1,3.37,"13","CC(=O)Nc1ccc([C@H](C(=O)NC(C)C)N2C(=O)[C@@H](C3Cc4ccccc4C3)NC(=O)[C@H]2CC(C)C)cc1","Ki","'='",1.585,"nM",8.8,NA,NA,"UO_0000065",16.97,0.32,5.43,8.18,0,"CHEMBL885138","Displacement of [3H]oxytocin from human Oxytocin receptor","B","BAO_0000357","single protein format","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1140377",1,"Scientific Literature","J Med Chem",2005,NA,NA,NA,FALSE
"CHEMBL198329",NA,NA,529.6,1,4.43,"21","CC(C)C[C@@H]1C(=O)N[C@H](C2Cc3ccccc3C2)C(=O)N1[C@@H](C(=O)NC(C)C)c1ccc(C(F)(F)F)cc1","Ki","'='",5.012,"nM",8.3,NA,NA,"UO_0000065",15.67,0.3,3.87,10.57,0,"CHEMBL885138","Displacement of [3H]oxytocin from human Oxytocin receptor","B","BAO_0000357","single protein format","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1140377",1,"Scientific Literature","J Med Chem",2005,NA,NA,NA,TRUE
"CHEMBL194584",NA,NA,539.7,1,2.81,"27","CC(C)C[C@@H]1C(=O)N[C@H](C2Cc3ccccc3C2)C(=O)N1[C@@H](C(=O)NC(C)C)c1ccc(S(C)(=O)=O)cc1","Ki","'='",10,"nM",8,NA,NA,"UO_0000065",14.82,0.29,5.19,7.1,0,"CHEMBL885138","Displacement of [3H]oxytocin from human Oxytocin receptor","B","BAO_0000357","single protein format","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1140377",1,"Scientific Literature","J Med Chem",2005,NA,NA,NA,FALSE
"CHEMBL514287",NA,NA,452.49,0,3.54,"6","COc1ccc(S(=O)(=O)N(Cc2noc(-c3ccccc3)n2)c2ccc(OC)nc2)cc1","Ki","'='",39.81,"nM",7.4,NA,NA,"UO_0000065",16.35,0.32,3.86,6.87,0,"CHEMBL1025689","Binding affinity to human recombinant oxytocin receptor expressed in CHO cells by fluorescence polarization assay","B","BAO_0000219","cell-based format","Homo sapiens",NA,NA,"CHO",NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1154542",1,"Scientific Literature","Bioorg Med Chem Lett",2009,"CHEMBL3308072",NA,NA,TRUE
"CHEMBL459291",NA,NA,423.45,0,2.93,"7","COc1ccc(N(Cc2nc(-c3ccccc3)no2)S(=O)(=O)c2ccccn2)cn1","Ki","'='",63.1,"nM",7.2,NA,NA,"UO_0000065",17,0.33,4.27,6.47,0,"CHEMBL1025689","Binding affinity to human recombinant oxytocin receptor expressed in CHO cells by fluorescence polarization assay","B","BAO_0000219","cell-based format","Homo sapiens",NA,NA,"CHO",NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1154542",1,"Scientific Literature","Bioorg Med Chem Lett",2009,"CHEMBL3308072",NA,NA,FALSE
"CHEMBL514586",NA,NA,523.64,1,4.26,"19","COc1ccc(N(Cc2ccc(-c3ccccc3C)cn2)S(=O)(=O)c2ccc(S(C)(=O)=O)cc2)cn1","Ki","'='",6.31,"nM",8.2,NA,NA,"UO_0000065",15.66,0.31,3.94,7.7,0,"CHEMBL1025689","Binding affinity to human recombinant oxytocin receptor expressed in CHO cells by fluorescence polarization assay","B","BAO_0000219","cell-based format","Homo sapiens",NA,NA,"CHO",NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1154542",1,"Scientific Literature","Bioorg Med Chem Lett",2009,"CHEMBL3308072",NA,NA,FALSE
"CHEMBL515660",NA,NA,486.55,0,4.43,"12","COc1ccc(S(=O)(=O)N(Cc2ccc(-c3ccccc3C#N)cn2)c2ccc(OC)nc2)cc1","Ki","'='",6.31,"nM",8.2,NA,NA,"UO_0000065",NA,NA,NA,NA,0,"CHEMBL1025690","Antagonist activity at human recombinant oxytocin receptor expressed in CHO cells by FLIPR assay","F","BAO_0000219","cell-based format","Homo sapiens",NA,NA,"CHO",NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1154542",1,"Scientific Literature","Bioorg Med Chem Lett",2009,"CHEMBL3308072",NA,NA,FALSE
"CHEMBL401960",NA,NA,519.56,1,4.02,"8","CC(C)C[C@@H]1C(=O)N[C@H](C2Cc3ccccc3C2)C(=O)N1[C@@H](C(=O)NC(C)C)c1ccc(C(F)(F)F)o1","Ki","'='",0.1,"nM",10,NA,NA,"UO_0000065",19.25,0.37,5.98,10.91,0,"CHEMBL946012","Binding affinity to human oxytocin receptor","B","BAO_0000357","single protein format","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1142309",1,"Scientific Literature","Bioorg Med Chem Lett",2008,NA,NA,NA,TRUE
"CHEMBL270624",NA,NA,530.46,1,3.76,"7","CC(C)C[C@@H]1C(=O)N[C@H](C2Cc3ccccc3C2)C(=O)N1[C@@H](C(=O)NC(C)C)c1ccc(Br)o1","Ki","'='",0.7943,"nM",9.1,NA,NA,"UO_0000065",17.15,0.37,5.34,9.93,0,"CHEMBL946012","Binding affinity to human oxytocin receptor","B","BAO_0000357","single protein format","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1142309",1,"Scientific Literature","Bioorg Med Chem Lett",2008,NA,NA,NA,FALSE
"CHEMBL271057",NA,NA,508.62,1,2.36,"6","CNC(=O)c1ccc([C@H](C(=O)NC(C)C)N2C(=O)[C@@H](C3Cc4ccccc4C3)NC(=O)[C@H]2CC(C)C)o1","Ki","'='",39.81,"nM",7.4,NA,NA,"UO_0000065",14.55,0.27,5.04,6.13,0,"CHEMBL946012","Binding affinity to human oxytocin receptor","B","BAO_0000357","single protein format","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1142309",1,"Scientific Literature","Bioorg Med Chem Lett",2008,NA,NA,NA,FALSE
