Name	Permeability
Arbutamine 	Non-Permeable
Arbutin 	Non-Permeable
Arformoterol 	Non-Permeable
Argatroban 	Non-Permeable
Aripiprazole 	Permeable
Aripiprazole lauroxil 	Permeable
Armodafinil 	Permeable
Artemether 	Permeable
Artemotil 	Permeable
Artenimol 	Permeable
Artesunate 	Permeable
Articaine 	Permeable
Arzoxifene 	Non-Permeable
Asciminib 	Non-Permeable
Ascorbic acid 	Permeable
Asenapine 	Permeable
Asparagine 	Permeable
Aspartic acid 	Permeable
Astemizole 	Non-Permeable
Asunaprevir 	Non-Permeable
Ataluren 	Permeable
Atazanavir 	Non-Permeable
Atenolol 	Non-Permeable
Atogepant 	Non-Permeable
Atomoxetine 	Permeable
Atorvastatin 	Non-Permeable
Atosiban 	Non-Permeable
Atovaquone 	Non-Permeable
Atracurium besylate 	Non-Permeable
Atropine 	Permeable
Avacopan 	Permeable
Avanafil 	Non-Permeable
Avapritinib 	Permeable
Avatrombopag 	Non-Permeable
Avibactam 	Non-Permeable
Avobenzone 	Non-Permeable
Axitinib 	Permeable
Azacitidine 	Permeable
Azatadine 	Permeable
Azathioprine 	Non-Permeable
Azelaic acid 	Non-Permeable
Azelastine 	Permeable
Azilsartan medoxomil 	Non-Permeable
Azithromycin 	Non-Permeable
Azlocillin 	Non-Permeable
Aztreonam 	Non-Permeable
Bacampicillin 	Non-Permeable
Bacitracin 	Non-Permeable
Baclofen 	Permeable
Baloxavir marboxil 	Permeable
Balsalazide 	Permeable
Baricitinib 	Permeable
Barium sulfate 	Permeable
Bazedoxifene 	Non-Permeable
Beclomethasone dipropionate 	Permeable
Bedaquiline 	Non-Permeable
Belinostat 	Permeable
Belumosudil 	Non-Permeable
Belzutifan 	Permeable
Bemotrizinol 	Non-Permeable
Bempedoic acid 	Permeable
Benazepril 	Permeable
Bendamustine 	Permeable
Bendazac 	Permeable
Bendroflumethiazide 	Permeable
Benfotiamine 	Permeable
Benorilate 	Permeable
Benoxaprofen 	Permeable
Benperidol 	Permeable
Benserazide 	Non-Permeable
Benzatropine 	Permeable
Benzethonium 	Non-Permeable
Benzhydrocodone 	Permeable
Benziodarone 	Permeable
Benznidazole 	Permeable
Benzocaine 	Permeable
Benzoic acid 	Non-Permeable
Benzoin 	Permeable
Benzonatate 	Permeable
Benzoyl peroxide 	Permeable
Benzphetamine 	Permeable
Benzthiazide 	Non-Permeable
Benzydamine 	Permeable
Benzyl alcohol 	Permeable
Benzyl benzoate 	Permeable
Benzylparaben 	Non-Permeable
Benzylpenicillin 	Non-Permeable
Bepotastine 	Non-Permeable
Bepridil 	Non-Permeable
Berberine 	Permeable
Berotralstat 	Non-Permeable
Besifloxacin 	Non-Permeable
Beta carotene 	Permeable
Betahistine 	Permeable
Betaine 	Permeable
Betamethasone 	Permeable
Betamethasone phosphate 	Permeable
Betaxolol 	Permeable
Betazole 	Permeable
Bethanechol 	Non-Permeable
Bethanidine 	Permeable
Betiatide 	Non-Permeable
Betrixaban 	Non-Permeable
Betulinic Acid 	Permeable
Bexarotene 	Permeable
Bezafibrate 	Permeable
Bicalutamide 	Permeable
Bicisate 	Permeable
Bictegravir 	Permeable
Bifonazole 	Permeable
Biguanide 	Permeable
Bilastine 	Permeable
Bimatoprost 	Permeable
Binimetinib 	Non-Permeable
Bioallethrin 	Permeable
Biotin 	Permeable
Biperiden 	Permeable
Bisacodyl 	Permeable
Bismuth subcitrate potassium 	Non-Permeable
Bismuth subnitrate 	Permeable
Bisoctrizole 	Non-Permeable
Bisoprolol 	Permeable
Bisoxatin 	Non-Permeable
Bisphenol A diglycidyl ether 	Permeable
Bithionol 	Permeable
Bleomycin 	Non-Permeable
Boceprevir 	Non-Permeable
Boscalid 	Permeable
Bosentan 	Non-Permeable
Bosutinib 	Permeable
Bretylium 	Non-Permeable
Brexanolone 	Permeable
Brexpiprazole 	Permeable
Brigatinib 	Non-Permeable
Brilliant blue G 	Non-Permeable
Brilliant green cation 	Permeable
Brimonidine 	Permeable
Brincidofovir 	Non-Permeable
Brinzolamide 	Non-Permeable
Brivaracetam 	Permeable
Brivudine 	Permeable
Bromazepam 	Permeable
Bromfenac 	Permeable
Bromhexine 	Permeable
Bromocriptine 	Non-Permeable
Bromodiphenhydramine 	Permeable
Bromothalonil 	Permeable
Bromotheophylline 	Permeable
Bromperidol 	Permeable
Brompheniramine 	Permeable
Bronopol 	Non-Permeable
Bucetin 	Permeable
Buclizine 	Permeable
Budesonide 	Permeable
Bufexamac 	Permeable
Bumadizone 	Permeable
Bumetanide 	Permeable
Bupivacaine 	Permeable
Buprenorphine 	Permeable
Bupropion 	Permeable
Buserelin 	Non-Permeable
Buspirone 	Permeable
Busulfan 	Permeable
Butabarbital 	Permeable
Butacaine 	Permeable
Butalbital 	Permeable
Butamben 	Permeable
Butaperazine 	Permeable
Butenafine 	Permeable
Butobarbital 	Permeable
Butoconazole 	Permeable
Butorphanol 	Permeable
Butylene glycol 	Non-Permeable
Butylparaben 	Permeable
Butylscopolamine 	Non-Permeable
Cabazitaxel 	Non-Permeable
Cabergoline 	Permeable
Cabotegravir 	Non-Permeable
Cabozantinib 	Non-Permeable
Caffeine 	Permeable
Calcifediol 	Permeable
Calcipotriol 	Permeable
Calcitriol 	Permeable
Calcium acetate 	Non-Permeable
Calcium ascorbate 	Non-Permeable
Calcium carbimide 	Permeable
Calcium carbonate 	Non-Permeable
Calcium citrate 	Non-Permeable
Calcium glubionate anhydrous 	Non-Permeable
Calcium glucoheptonate 	Non-Permeable
Calcium gluconate 	Non-Permeable
Calcium glycerophosphate 	Non-Permeable
Calcium lactate 	Non-Permeable
Calcium levulinate 	Permeable
Calcium Phosphate 	Permeable
Calcium phosphate dihydrate 	Non-Permeable
Calcium saccharate 	Non-Permeable
Calcium threonate 	Non-Permeable
Calcium undecylenate 	Permeable
Camphor 	Permeable
Canagliflozin 	Permeable
Candesartan cilexetil 	Non-Permeable
Candicidin 	Non-Permeable
Cangrelor 	Non-Permeable
Cannabidiol 	Permeable
Canrenoic acid 	Permeable
Cantharidin 	Permeable
Capecitabine 	Permeable
Capmatinib 	Permeable
Capreomycin 	Non-Permeable
Capsaicin 	Permeable
Captopril 	Permeable
Carbamazepine 	Permeable
Carbamide peroxide 	Permeable
Carbamoylcholine 	Non-Permeable
Carbenicillin 	Non-Permeable
Carbetocin 	Non-Permeable
Carbidopa 	Non-Permeable
Carbimazole 	Permeable
Carbinoxamine 	Permeable
Carbocisteine 	Non-Permeable
Carbocromen 	Permeable
Carbon dioxide 	Permeable
Carboprost tromethamine 	Permeable
Carboxin 	Permeable
Carfilzomib 	Non-Permeable
Carglumic acid 	Permeable
Carindacillin 	Non-Permeable
Cariprazine 	Permeable
Carisoprodol 	Permeable
Carmustine 	Permeable
Carprofen 	Permeable
Carteolol 	Non-Permeable
Carvedilol 	Permeable
Caspofungin 	Non-Permeable
Cedazuridine 	Non-Permeable
Cefaclor 	Non-Permeable
Cefadroxil 	Non-Permeable
Cefalotin 	Non-Permeable
Cefamandole 	Non-Permeable
Cefamandole nafate 	Non-Permeable
Cefapirin 	Non-Permeable
Cefazolin 	Non-Permeable
Cefdinir 	Non-Permeable
Cefditoren 	Non-Permeable
Cefepime 	Non-Permeable
Cefiderocol 	Non-Permeable
Cefixime 	Non-Permeable
Cefmenoxime 	Non-Permeable
Cefmetazole 	Non-Permeable
Cefonicid 	Non-Permeable
Cefoperazone 	Non-Permeable
Ceforanide 	Non-Permeable
Cefotaxime 	Non-Permeable
Cefotetan 	Non-Permeable
Cefotiam 	Non-Permeable
Cefoxitin 	Non-Permeable
Cefpiramide 	Non-Permeable
Cefpirome 	Non-Permeable
Cefpodoxime 	Non-Permeable
Cefprozil 	Non-Permeable
Cefradine 	Non-Permeable
Ceftaroline fosamil 	Non-Permeable
Ceftazidime 	Non-Permeable
Ceftibuten 	Non-Permeable
Ceftizoxime 	Non-Permeable
Ceftobiprole 	Non-Permeable
Ceftobiprole medocaril 	Non-Permeable
Ceftolozane 	Non-Permeable
Ceftriaxone 	Non-Permeable
Cefuroxime 	Non-Permeable
Celecoxib 	Non-Permeable
Celiprolol 	Non-Permeable
Cenobamate 	Permeable
Cephalexin 	Non-Permeable
Cephaloglycin 	Non-Permeable
Ceritinib 	Non-Permeable
Cerivastatin 	Permeable
Ceruletide 	Non-Permeable
Cetalkonium 	Permeable
Cetirizine 	Non-Permeable
Cetrimonium 	Permeable
Cetrorelix 	Non-Permeable
Cetyl alcohol 	Permeable
Cetylpyridinium 	Permeable
Cevimeline 	Permeable
Chenodeoxycholic acid 	Non-Permeable
Chloral hydrate 	Permeable
Chlorambucil 	Non-Permeable
Chloramphenicol 	Permeable
Chloramphenicol palmitate 	Permeable
Chloramphenicol succinate 	Non-Permeable
Chlorcyclizine 	Permeable
Chlordiazepoxide 	Permeable
Chlorhexidine 	Non-Permeable
Chloric acid 	Non-Permeable
Chlormerodrin 	Permeable
Chlormerodrin Hg-197 	Permeable
Chlormezanone 	Permeable
Chlorobutanol 	Permeable
Chloroform 	Permeable
Chloroprocaine 	Permeable
Chloroquine 	Non-Permeable
Chlorothiazide 	Non-Permeable
Chloroxine 	Permeable
Chloroxylenol 	Permeable
Chlorphenesin 	Permeable
Chlorphenesin carbamate 	Permeable
Chlorpheniramine 	Permeable
Chlorpromazine 	Permeable
Chlorpropamide 	Non-Permeable
Chlorprothixene 	Permeable
Chlorquinaldol 	Permeable
Chlortetracycline 	Non-Permeable
Chlorthalidone 	Non-Permeable
Chlorzoxazone 	Permeable
Cholecalciferol 	Permeable
Cholesterol 	Permeable
Cholic Acid 	Non-Permeable
Choline 	Permeable
Choline C 11 	Non-Permeable
Choline C-11 	Permeable
Choline magnesium trisalicylate 	Non-Permeable
Choline salicylate 	Non-Permeable
Cianidanol 	Non-Permeable
Ciclesonide 	Permeable
Ciclopirox 	Permeable
Cidofovir 	Non-Permeable
Cilastatin 	Non-Permeable
Cilazapril 	Permeable
Cilostazol 	Permeable
Cimetidine 	Non-Permeable
Cinacalcet 	Permeable
Cinchocaine 	Non-Permeable
Cinnamaldehyde 	Permeable
Cinnamyl alcohol 	Permeable
Cinnarizine 	Permeable
Cinoxacin 	Permeable
Cinoxate 	Permeable
Ciprofibrate 	Permeable
Ciprofloxacin 	Non-Permeable
Cisapride 	Permeable
Cisatracurium 	Non-Permeable
Citalopram 	Permeable
Citicoline 	Non-Permeable
Citric acid 	Non-Permeable
Cladribine 	Permeable
Clarithromycin 	Non-Permeable
Clascoterone 	Permeable
Clavulanic acid 	Permeable
Clemastine 	Permeable
Clenbuterol 	Permeable
Clevidipine 	Permeable
Clidinium 	Non-Permeable
Clindamycin 	Non-Permeable
Clioquinol 	Non-Permeable
Clobazam 	Permeable
Clobetasol 	Permeable
Clobetasol propionate 	Permeable
Clobetasone 	Permeable
Clocortolone 	Permeable
Clodronic acid 	Non-Permeable
Clofarabine 	Permeable
Clofazimine 	Non-Permeable
Clofedanol 	Permeable
Clofibrate 	Non-Permeable
Clomifene 	Permeable
Clomipramine 	Permeable
Clonazepam 	Permeable
Clonidine 	Permeable
Clopidogrel 	Permeable
Clorazepic acid 	Permeable
Clothiapine 	Permeable
Clotiazepam 	Permeable
Clotrimazole 	Non-Permeable
Cloxacillin 	Non-Permeable
Clozapine 	Permeable
Cobalt 	Permeable
Cobicistat 	Non-Permeable
Cobimetinib 	Non-Permeable
Cocaine 	Permeable
Cocarboxylase 	Permeable
Codeine 	Permeable
Coenzyme M 	Permeable
Colchiceine 	Non-Permeable
Colchicine 	Non-Permeable
Colfosceril palmitate 	Permeable
Colistimethate 	Non-Permeable
Colistin 	Non-Permeable
Conivaptan 	Non-Permeable
Copanlisib 	Permeable
Copper 	Permeable
Copper Cu-64 	Permeable
Copper gluconate 	Non-Permeable
Copper oxodotreotide Cu-64 	Non-Permeable
Cortisone acetate 	Permeable
Creatine 	Permeable
Crizotinib 	Non-Permeable
Cromoglicic acid 	Non-Permeable
Crotamiton 	Permeable
Cupric Chloride 	Permeable
Cupric sulfate 	Permeable
Curcumin 	Non-Permeable
Cyanocobalamin 	Non-Permeable
Cyanocobalamin Co-57 	Non-Permeable
Cyanocobalamin Co-60 	Non-Permeable
Cyclacillin 	Non-Permeable
Cyclandelate 	Permeable
Cyclizine 	Permeable
Cyclobenzaprine 	Permeable
Cycloguanil 	Permeable
Cyclopenthiazide 	Non-Permeable
Cyclopentolate 	Permeable
Cyclophosphamide 	Permeable
Cycloserine 	Permeable
Cyclosporine 	Non-Permeable
Cyclothiazide 	Non-Permeable
Cycrimine 	Permeable
Cyproheptadine 	Permeable
Cyproterone acetate 	Permeable
Cysteamine 	Permeable
Cysteine 	Permeable
Cystine 	Permeable
Cytarabine 	Permeable
Dabigatran 	Non-Permeable
Dabigatran etexilate 	Non-Permeable
Dabrafenib 	Non-Permeable
Dacarbazine 	Permeable
Daclatasvir 	Non-Permeable
Dacomitinib 	Non-Permeable
Dactinomycin 	Non-Permeable
Dalfampridine 	Permeable
Dalfopristin 	Non-Permeable
D-alpha-Tocopherol acetate 	Permeable
Danazol 	Permeable
Dantrolene 	Permeable
Dantron 	Non-Permeable
Dapagliflozin 	Permeable
Dapiprazole 	Permeable
Dapsone 	Permeable
Daptomycin 	Non-Permeable
Daridorexant 	Non-Permeable
Darifenacin 	Permeable
Darolutamide 	Non-Permeable
Darunavir 	Non-Permeable
Dasabuvir 	Non-Permeable
Dasatinib 	Non-Permeable
Daunorubicin 	Non-Permeable
Debrisoquine 	Permeable
Decamethonium 	Non-Permeable
Decitabine 	Permeable
Deferasirox 	Non-Permeable
Deferiprone 	Permeable
Deferoxamine 	Non-Permeable
Deflazacort 	Permeable
Degarelix 	Non-Permeable
Dehydrocholic acid 	Non-Permeable
Delafloxacin 	Non-Permeable
Delamanid 	Permeable
Delavirdine 	Non-Permeable
Demecarium 	Non-Permeable
Demeclocycline 	Non-Permeable
Deoxycholic acid 	Permeable
Dequalinium 	Permeable
Deserpidine 	Permeable
Desflurane 	Permeable
Desipramine 	Permeable
Deslanoside 	Non-Permeable
Desloratadine 	Permeable
Desmopressin 	Non-Permeable
Desogestrel 	Permeable
Desonide 	Permeable
Desoximetasone 	Permeable
Desoxycorticosterone acetate 	Permeable
Desvenlafaxine 	Permeable
Deucravacitinib 	Non-Permeable
Deutetrabenazine 	Permeable
Dexamethasone 	Permeable
Dexamethasone acetate 	Permeable
Dexamethasone metasulfobenzoate 	Permeable
Dexbrompheniramine 	Permeable
Dexchlorpheniramine maleate 	Permeable
Dexfenfluramine 	Permeable
Dexibuprofen 	Non-Permeable
Dexketoprofen 	Permeable
Dexlansoprazole 	Permeable
Dexmedetomidine 	Permeable
Dexmethylphenidate 	Permeable
Dexpanthenol 	Permeable
Dexrazoxane 	Non-Permeable
Dextroamphetamine 	Permeable
Dextromethorphan 	Permeable
Dextropropoxyphene 	Permeable
Dextrothyroxine 	Non-Permeable
Dezocine 	Permeable
D-glucose 	Non-Permeable
Diacerein 	Non-Permeable
Diacetyl benzoyl lathyrol 	Permeable
Diaminopropanol tetraacetic acid 	Non-Permeable
Diamorphine 	Permeable
Diatrizoate 	Non-Permeable
Diazepam 	Permeable
Diazolidinylurea 	Non-Permeable
Diazoxide 	Permeable
Dibekacin 	Non-Permeable
Dibenzepin 	Permeable
Dichloroacetic acid 	Permeable
Dichlorobenzyl alcohol 	Permeable
Diclofenac 	Non-Permeable
Diclofenamide 	Non-Permeable
Dicloxacillin 	Non-Permeable
Dicoumarol 	Non-Permeable
Dicyclomine 	Permeable
Didanosine 	Non-Permeable
Didecyldimethylammonium 	Permeable
Dienestrol 	Permeable
Dienogest 	Permeable
Diethylamino hydroxybenzoyl hexyl benzoate 	Permeable
Diethylcarbamazine 	Permeable
Diethylpropion 	Permeable
Diethylstilbestrol 	Non-Permeable
Diethyltoluamide 	Permeable
Difelikefalin 	Non-Permeable
Difenoxin 	Permeable
Diflorasone 	Permeable
Diflunisal 	Permeable
Difluocortolone 	Permeable
Difluprednate 	Permeable
Digitoxin 	Non-Permeable
Digoxin 	Non-Permeable
Dihydralazine 	Non-Permeable
Dihydro-alpha-ergocryptine 	Non-Permeable
Dihydrocodeine 	Permeable
Dihydroergocornine 	Non-Permeable
Dihydroergocristine 	Non-Permeable
Dihydroergotamine 	Non-Permeable
Dihydrostreptomycin 	Non-Permeable
Dihydrotachysterol 	Permeable
Diiodohydroxyquinoline 	Non-Permeable
Diloxanide furoate 	Permeable
Diltiazem 	Non-Permeable
Dimazole 	Permeable
Dimenhydrinate 	Permeable
Dimercaprol 	Non-Permeable
Dimercaptosuccinic acid 	Non-Permeable
Dimethyl fumarate 	Permeable
Dimethyl sulfoxide 	Permeable
Dimetindene 	Permeable
Dimetotiazine 	Permeable
Dinoprost 	Non-Permeable
Dinoprost tromethamine 	Permeable
Dinoprostone 	Non-Permeable
Dioctyldimonium 	Permeable
Diosmin 	Non-Permeable
Dioxybenzone 	Non-Permeable
Dipentamethylenethiuram disulfide 	Permeable
Diphemanil 	Non-Permeable
Diphenhydramine 	Permeable
Diphenidol 	Permeable
Diphenoxylate 	Permeable
Diphenylguanidine 	Permeable
Diphenylpyraline 	Permeable
Dipivefrin 	Non-Permeable
Dipotassium phosphate 	Non-Permeable
Dipyridamole 	Non-Permeable
Dipyrithione 	Permeable
Diroximel fumarate 	Permeable
Disopyramide 	Permeable
Disperse Blue 106 	Permeable
Distearyldimonium 	Permeable
Disulfiram 	Permeable
Ditiocarb zinc 	Permeable
DL-alpha tocopheryl acetate 	Permeable
DL-alpha-Tocopherol 	Permeable
DL-dimyristoylphosphatidylcholine 	Permeable
DL-dimyristoylphosphatidylglycerol 	Permeable
DL-Methylephedrine 	Permeable
D-Methionine 	Permeable
Dobutamine 	Permeable
Docetaxel 	Non-Permeable
Doconexent 	Permeable
Docosanol 	Permeable
Docusate 	Permeable
Dofetilide 	Permeable
Dolasetron 	Permeable
Dolutegravir 	Non-Permeable
Domiphen 	Non-Permeable
Domperidone 	Non-Permeable
Donepezil 	Permeable
Dopamine 	Non-Permeable
Dopexamine 	Permeable
Doravirine 	Non-Permeable
Doripenem 	Non-Permeable
Dorzolamide 	Permeable
Dosulepin 	Permeable
Dotatate 	Non-Permeable
Dotatate gallium Ga-68 	Non-Permeable
Doxacurium 	Non-Permeable
Doxapram 	Permeable
Doxazosin 	Permeable
Doxepin 	Permeable
Doxercalciferol 	Permeable
Doxorubicin 	Non-Permeable
Doxycycline 	Non-Permeable
Doxylamine 	Permeable
Drometrizole trisiloxane 	Non-Permeable
Dronabinol 	Permeable
Dronedarone 	Non-Permeable
Droperidol 	Permeable
Drospirenone 	Permeable
Drostanolone propionate 	Permeable
Drotaverine 	Permeable
Droxidopa 	Non-Permeable
D-Serine 	Non-Permeable
Duloxetine 	Permeable
Dutasteride 	Permeable
Duvelisib 	Non-Permeable
Dyclonine 	Permeable
Dydrogesterone 	Permeable
Dyphylline 	Permeable
Ebastine 	Non-Permeable
Ecamsule 	Permeable
Echothiophate 	Permeable
Econazole 	Non-Permeable
Edaravone 	Permeable
Edetate calcium disodium anhydrous 	Non-Permeable
Edetate disodium anhydrous 	Non-Permeable
Edetic acid 	Non-Permeable
Edotreotide gallium Ga-68 	Non-Permeable
Edoxaban 	Non-Permeable
Edoxudine 	Permeable
Edrophonium 	Non-Permeable
Efavirenz 	Non-Permeable
Efinaconazole 	Permeable
Eflornithine 	Permeable
Elagolix 	Non-Permeable
Elbasvir 	Non-Permeable
Eletriptan 	Non-Permeable
Elexacaftor 	Non-Permeable
Eliglustat 	Non-Permeable
Eltrombopag 	Non-Permeable
Eluxadoline 	Non-Permeable
Elvitegravir 	Non-Permeable
Emedastine 	Permeable
Empagliflozin 	Non-Permeable
Emtricitabine 	Non-Permeable
Enalapril 	Non-Permeable
Enalaprilat 	Non-Permeable
Enasidenib 	Non-Permeable
Encainide 	Permeable
Encorafenib 	Non-Permeable
Enflurane 	Permeable
Enoxacin 	Non-Permeable
Enoximone 	Permeable
Enprofylline 	Non-Permeable
Ensulizole 	Permeable
Entacapone 	Permeable
Entecavir 	Non-Permeable
Entrectinib 	Non-Permeable
Enzacamene 	Permeable
Enzalutamide 	Non-Permeable
Ephedrine 	Non-Permeable
Epicriptine 	Non-Permeable
Epinastine 	Non-Permeable
Epinephrine 	Non-Permeable
Epirubicin 	Non-Permeable
Eplerenone 	Permeable
Epoprostenol 	Non-Permeable
Eprosartan 	Permeable
Eravacycline 	Non-Permeable
Erdafitinib 	Non-Permeable
Erdosteine 	Non-Permeable
Ergocalciferol 	Permeable
Ergometrine 	Permeable
Ergosterol 	Permeable
Ergotamine 	Non-Permeable
Eribulin 	Permeable
Erlotinib 	Non-Permeable
Ertapenem 	Non-Permeable
Ertugliflozin 	Permeable
Erythrityl tetranitrate 	Permeable
Erythromycin 	Non-Permeable
Escitalopram 	Permeable
Esculin 	Non-Permeable
Esketamine 	Permeable
Eslicarbazepine 	Non-Permeable
Eslicarbazepine acetate 	Permeable
Esmolol 	Permeable
Esomeprazole 	Non-Permeable
Estazolam 	Permeable
Estetrol 	Non-Permeable
Estradiol 	Non-Permeable
Estradiol acetate 	Permeable
Estradiol benzoate 	Permeable
Estradiol cypionate 	Permeable
Estradiol dienanthate 	Permeable
Estradiol valerate 	Permeable
Estramustine 	Permeable
Estramustine phosphate 	Permeable
Estriol 	Non-Permeable
Estrone 	Non-Permeable
Estrone sulfate 	Non-Permeable
Eszopiclone 	Permeable
Etacrynic acid 	Non-Permeable
Etafedrine 	Permeable
Etelcalcetide 	Non-Permeable
Ethambutol 	Non-Permeable
Ethanol 	Non-Permeable
Ethanolamine oleate 	Permeable
Ethchlorvynol 	Permeable
Ethinamate 	Permeable
Ethinylestradiol 	Non-Permeable
Ethionamide 	Permeable
Ethoheptazine 	Permeable
Ethosuximide 	Permeable
Ethotoin 	Permeable
Ethyl chloride 	Permeable
Ethyl ferulate 	Non-Permeable
Ethyl hydroxybenzoate 	Permeable
Ethyl salicylate 	Non-Permeable
Ethylenediamine 	Permeable
Ethylhexyl methoxycrylene 	Permeable
Ethynodiol diacetate 	Permeable
Etidocaine 	Permeable
Etidronic acid 	Non-Permeable
Etilefrine 	Non-Permeable
Etodolac 	Non-Permeable
Etofamide 	Permeable
Etomidate 	Permeable
Etonogestrel 	Permeable
Etoposide 	Non-Permeable
Etoricoxib 	Permeable
Etravirine 	Non-Permeable
Eugenol 	Non-Permeable
Everolimus 	Non-Permeable
Exametazime 	Permeable
Exemestane 	Non-Permeable
Ezetimibe 	Permeable
Ezogabine 	Permeable
Famciclovir 	Permeable
Famotidine 	Permeable
Favipiravir 	Permeable
Febuxostat 	Permeable
Fedratinib 	Non-Permeable
Felbamate 	Permeable
Felodipine 	Non-Permeable
Fenbufen 	Permeable
Fenfluramine 	Permeable
Fenofibrate 	Permeable
Fenofibric acid 	Non-Permeable
Fenoldopam 	Non-Permeable
Fenoprofen 	Permeable
Fenoterol 	Non-Permeable
Fenpropidin 	Permeable
Fentanyl 	Permeable
Ferric ammonium citrate 	Non-Permeable
Ferric cation 	Permeable
Ferric chloride 	Permeable
Ferric derisomaltose 	Non-Permeable
Ferric glycerophosphate 	Non-Permeable
Ferric maltol 	Permeable
Ferric pyrophosphate citrate 	Non-Permeable
Ferric sulfate 	Permeable
Ferrous ascorbate 	Non-Permeable
Ferrous bisglycinate 	Non-Permeable
Ferrous cysteine glycinate 	Non-Permeable
Ferrous fumarate 	Non-Permeable
Ferrous gluconate 	Non-Permeable
Ferrous glycine sulfate 	Non-Permeable
Ferrous succinate 	Non-Permeable
Ferrous sulfate anhydrous 	Permeable
Fesoterodine 	Permeable
Fexinidazole 	Permeable
